Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,2025-08-08 00:00:00,,Liste der Besitzstände,,,,
,TARDOC 1.4c,,,,,,
,Ambulante Pauschalen 1.1c,,,,,,
,,,,,,,
,Typ,"LNr. TARDOC
Basisfallgruppe",Bezeichnung TARDOC / Basisfallgruppe,Besitzstand anmelden möglich,Begründung,Vorgängerposition TARMED 01.09.00_BR,Bezeichnung TARMED
,Pauschale,C01.15*,-,Ja,-,07.1480,"(+) Neurolyse des N. lingualis/N. alveolaris inferior, als Zuschlagsleistung"
,Pauschale,C01.15*,-,Ja,-,07.1910,"Dekompression u/o Neurolyse u/o Verlagerung des N. supraorbitalis/N. infraorbitalis, als alleinige Leistung"
,Pauschale,C01.15*,-,Ja,-,07.1920,"Dekompression des N. opticus, jede Methode"
,Pauschale,C01.15*,-,Ja,-,09.1750,"Dekompression des N. facialis im Felsenbeinbereich, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,04.1730,"Transplantatentnahme, Nerv, erste 5 cm"
,Pauschale,C01.16*,-,Ja,-,05.2310,"Funktionelle perkutane Rhizotomie, jede Methode, erste Wurzel"
,Pauschale,C01.16*,-,Ja,-,05.2710,"Naht eines Nervenastes ausserhalb Handbereich/Gesichtsschädel, erster Nervenast, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2730,"Naht eines Nervenastes im Handbereich/Gesichtsschädel, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2740,"Naht eines Nervenstammes am distalen Unterarm, Unterschenkel, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2750,"Naht eines Nervenstammes am proximalen Unterarm/Ellbogen, proximalen Unterschenkel/Knie, Oberarm und Oberschenkel, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2760,"Naht eines Nervenstammes im Schulterbereich, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2780,"Nervennaht im Plexusbereich, erste(r) Wurzel oder Trunkus"
,Pauschale,C01.16*,-,Ja,-,05.2840,"Naht des N. vagus, N. accessorius oder N. hypoglossus"
,Pauschale,C01.16*,-,Ja,-,05.2910,"Gelenkdenervation am Handgelenk, partiell (zwei Zugänge), als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2920,"Gelenkdenervation am Handgelenk, komplett (drei Zugänge), als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2930,"Exzision eines Neuroms, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,05.2940,"Exzision eines endoneuralen Tumors, als alleinige Leistung"
,Pauschale,C01.16*,-,Ja,-,09.1790,Exstirpation eines Fazialistumors
